,tsp_file,tsplib-tsp_20_tsp20_dcd_global-greedy-t1-0-59,tsplib-tsp_50_tsp50_dcd_global-greedy-t1-0-59,tsplib-tsp_100_tsp100_dcd_local-greedy-t1-0-59,tsplib-tsp_100_tsp100_dcd_global-greedy-t1-0-59,tsplib-tsp_50_tsp50_dcd_local-greedy-t1-0-59,tsplib-tsp_50_tsp50_dcd_random-greedy-t1-0-59,tsplib-tsp_20_tsp20_dcd_local-greedy-t1-0-59,tsplib-tsp_20_tsp20_default-greedy-t1-0-59,tsplib-tsp_100_tsp100_default-greedy-t1-0-59,tsplib-tsp_50_tsp50_default-greedy-t1-0-59,tsplib-tsp_20_tsp20_dcd_random-greedy-t1-0-59,tsplib-tsp_100_tsp100_dcd_random-greedy-t1-0-59
20,kroB200.npy,48289.881009560886,42174.439863207015,45136.5937186044,43680.67149575164,45596.08632712341,46035.525707215646,45908.568950812725,46187.58603026327,50688.731707944346,48338.099043161106,47744.63492773955,45880.09026288691
21,kroC100.npy,28321.041981001912,27166.811396287383,29965.657865622805,31602.109938970185,28088.375110095305,27607.12158622108,29318.383507342573,28161.34529971151,30982.50396936927,31725.256761083467,27982.256065869824,30038.176455044202
22,kroD100.npy,28331.358552038353,28420.002504408585,29464.112997654895,31203.171366142516,29566.107527697826,27566.348092558317,30034.266215712814,29073.239385766352,30542.070647385208,29541.156833726436,30373.273215796664,29686.286262367234
23,kroE100.npy,30671.683696982625,30449.983985477487,30554.661816182994,31013.007046226743,29637.7086787122,27980.716514883592,28372.1612105507,28887.75760170701,34294.741024130235,29905.98627234724,30241.68618128357,29589.492190048375
24,lin105.npy,20490.71755479226,19043.440339783214,21226.938193745424,22797.985435327842,19268.375234021158,19869.86912587785,21019.578810559073,21103.1297384019,22124.405952226865,20332.49952655776,20277.04681123857,21064.904414687117
25,lin318.npy,74415.88439327413,65821.27408050264,67122.42316677264,67040.43535580854,65171.72454030817,66813.27399705767,75685.33086334319,72654.05550055807,72231.4643892394,65909.20483780878,73824.18229175957,65164.829065980986
26,linhp318.npy,74415.88439327413,65821.27408050264,67122.42316677264,67040.43535580854,65171.72454030817,66813.27399705767,75685.33086334319,72654.05550055807,72231.4643892394,65909.20483780878,73824.18229175957,65164.829065980986
27,nrw1379.npy,132429.787307406,119842.09402935041,117501.2842072603,130822.66428600535,121857.06581129749,120198.31197026753,133244.96880177173,125050.19228750131,126633.45610949844,121928.56835107492,130848.58759231752,125259.56778647428
28,p654.npy,61894.9781140693,314825.1253769309,99163.08023711185,62224.94438210852,59111.184342961875,54177.043493449935,69812.03763783777,57396.26877966379,58810.00010574482,74956.43016000246,70280.98522575147,466249.86870646867
29,pcb1173.npy,145394.2704811515,122589.41444237254,133730.6248267222,129720.32101544124,128731.87136445133,130796.44949910912,142274.46271908307,125083.32856180039,136301.24437361173,131134.72187966906,130734.54793005675,151406.97381268116
